"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2021-01-01 12:42:59.018000+00:00","2021-01-01 13:47:19.572000+00:00","3860","1739","Edinburgh Royal Infirmary","Front of new Sick Kids Hospital","55.921220122613306","-3.1390755550312406","1739","Edinburgh Royal Infirmary","Front of new Sick Kids Hospital","55.921220122613306","-3.1390755550312406"
"2021-01-01 12:45:04.851000+00:00","2021-01-01 14:07:39.063000+00:00","4954","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 12:48:06.731000+00:00","2021-01-01 13:06:57.808000+00:00","1131","1090","Hillside Crescent","East end of Hillside Crescent","55.95787194536338","-3.1758883709196652","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 12:48:36.203000+00:00","2021-01-01 13:06:33.714000+00:00","1077","1090","Hillside Crescent","East end of Hillside Crescent","55.95787194536338","-3.1758883709196652","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 12:57:24.352000+00:00","2021-01-01 13:57:20.242000+00:00","3595","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537"
"2021-01-01 13:02:14.115000+00:00","2021-01-01 14:38:46.972000+00:00","5792","1753","Waitrose Comely Bank","On Fettes Avenue next to Waitrose","55.959536249717715","-3.223434402338853","1763","Comely Bank Road","Outside Raeburn Place Sports Ground","55.95941012836135","-3.2156613606136943"
"2021-01-01 13:02:37.082000+00:00","2021-01-01 15:18:30.035000+00:00","8152","1769","Brunswick Place","Corner of Elm Row/Brunswick Street","55.96085174106396","-3.180985762469163","1769","Brunswick Place","Corner of Elm Row/Brunswick Street","55.96085174106396","-3.180985762469163"
"2021-01-01 13:06:02.011000+00:00","2021-01-01 14:00:18.604000+00:00","3256","1798","Chambers Street","Outside National Museum","55.94760044619224","-3.1889197367352153","1721","Tollcross","Outside Piccolinos off Lauriston Place","55.944248052468346","-3.2031045991104747"
"2021-01-01 13:18:09.820000+00:00","2021-01-01 13:37:20.787000+00:00","1150","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277","1728","Portobello - Kings Road","Foot of Kings Road next to the promenade","55.957915406923476","-3.1183320420902874"
"2021-01-01 13:20:27.017000+00:00","2021-01-01 13:42:24.381000+00:00","1317","1729","McDonald Road","Next to Fire Station","55.9640310527501","-3.1851753729504253","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547"
